,관광지명,소재지도로명주소,위도,경도,시도명
784,안용복기념 부산포개항문화관,부산광역시 동구 증산로 100,35.13563677,129.0529467,부산광역시
785,좌천동굴,부산광역시 동구 고관로185번길 1,35.13325838,129.0522683,부산광역시
786,만화카페,부산광역시 동구 성북로 31,35.13675143,129.0496096,부산광역시
787,명란브랜드연구소,부산광역시 동구 영초윗길 22-1,35.117117,129.035016,부산광역시
788,농월정,경상남도 함양군 안의면 농월정길 9-35,35.62464301,127.7815571,경상남도
789,속초해수욕장,강원도 속초시 해오름로 186,38.19014712,128.603531,강원특별자치도
790,척산온천,강원도 속초시 관광로 327,38.190269,128.5407013,강원특별자치도
791,설악한화리조트,강원도 속초시 미시령로 2983번길 111,38.21030027,128.5287216,강원특별자치도
792,우장춘기념관,부산광역시 동래구 우장춘로62번길 7(온천동),35.213515,129.0720181,부산광역시
793,장영실과학동산,부산광역시 동래구 동래역사관길 18(복천동),35.20916308,129.0896688,부산광역시
794,박차정의사생가,부산광역시 동래구 명륜로 98번길 129-10(칠산동),35.20169645,129.090397,부산광역시
795,금강공원,부산광역시 동래구 우장춘로 155 (온천동),35.21962513,129.075758,부산광역시
796,허심청,부산광역시 동래구 온천장로107번길 32 (온천동),35.221157,129.0826889,부산광역시
797,복천박물관,부산광역시 동래구 복천로 63(복천동),35.20877662,129.0911741,부산광역시
798,충렬사,부산광역시 동래구 충렬대로 345,35.199577,129.0959922,부산광역시
799,해양자연사박물관,부산광역시 동래구 우장춘로 175 (온천동),35.2219498,129.075647,부산광역시
800,서창한옥문화관,광주광역시 서구 눌재로 420,35.11523537,126.8300424,광주광역시
801,용대관광지,강원도 인제군 북면 십이선녀탕길 16,38.18568475,128.3061965,강원특별자치도
802,방동관광지,강원도 인제군 기린면 방동약수로 89-59,37.94387136,128.3962628,강원특별자치도
803,에코촌유스호스텔,전라남도 순천시 해룡면 생태배움길 123,34.92310938,127.5164423,전라남도
804,순천자연휴양림,전라남도 순천시 서면 청소년수련원길 170,35.04388083,127.4744949,전라남도
805,기독교역사박물관,전라남도 순천시 매산길 61(매곡동),34.96043473,127.4801207,전라남도
806,승주골프장,전라남도 순천시 별량면 오실길 333,34.89477542,127.4482083,전라남도
807,파인힐스골프장,전라남도 순천시 주암면 송광사길 99,35.03454985,127.2723022,전라남도
808,레이크힐스골프장,전라남도 순천시 주암면 행정1길 77,35.0453779,127.3092617,전라남도
809,순천컨트리클럽,전라남도 순천시 별량면 동화사길 85,34.86653556,127.4059214,전라남도
810,부영컨트리클럽,전라남도 순천시 해룡면 신대로 188,34.94005246,127.5555065,전라남도
811,고석정,강원도 철원군 동송읍 태봉로 1825,38.18542141,127.2874037,강원특별자치도
812,직탕,강원도 철원군 갈말읍 직탕길 32,38.2069247,127.2690548,강원특별자치도
813,그림책도서관,전라남도 순천시 도서관길 33(동외동),34.9579091,127.4860252,전라남도
814,순천시청소년수련원,전라남도 순천시 서면 청소년수련원길 167,35.04652524,127.4733227,전라남도
815,순천용오름마을,전라남도 순천시 주암면 운룡2길 17,35.0921171,127.2020571,전라남도
816,순천향매실마을,전라남도 순천시 월등면 계월길 138,35.0622232,127.4045173,전라남도
817,순천생태마을,전라남도 순천시 승주읍 고산도목길 9,35.06648711,127.3602718,전라남도
818,거차뻘배체험마을,전라남도 순천시 별량면 거차길 130,34.8375993,127.4474457,전라남도
819,낙안민속자연휴양림,전라남도 순천시 낙안면 민속마을길 1600,34.91226789,127.3523884,전라남도
820,신정호국민관광지,충청남도 아산시 신정로 616,36.77152141,126.9839152,충청남도
821,아산온천관광지,충청남도 아산시 송악면 도송로632번길 138,36.69884759,126.9666069,충청남도
822,포로수용소유적공원,경상남도 거제시 계룡로 61,34.87637998,128.625371,경상남도
823,거제해금강,nan,34.73266258,128.683858,nan
824,외도,경남 거제시 일운면 외도길 17,34.769507,128.712936804,경남
825,공곶이,nan,34.7945149551,128.7139060068,nan
826,김영삼전대통령생가기록전시관,경상남도 거제시 장목면 옥포대첩로 743,34.931413,128.715439,경상남도
827,문동휴양지,nan,34.8564826636,128.6628354092,nan
828,바람의언덕,nan,34.744015833,128.6632698542,nan
829,우제봉전망대,nan,34.732023,128.673563,nan
830,방화동가족휴가촌,전북특별자치도 장수군 번암면 방화동로 778,35.59064179,127.5268761,전북특별자치도
831,운일암반일암,전북특별자치도 진안군 주천면 동상주천로 1924,35.97596963,127.408748,전북특별자치도
832,간현관광지,강원도 원주시 지정면 소금산길 26,37.36489327,127.832544,강원특별자치도
833,봉두산,전라남도 곡성군 죽곡면 태안로 622-215,35.13195828,127.3863807,전라남도
834,설산,nan,35.29950593,127.1025224,nan
835,명승 거창 수승대,경상남도 거창군 위천면 은하리길 2,35.760923,127.8336763,경상남도
836,가조온천,경상남도 거창군 가조면 온천길161,35.69875771,128.0231044,경상남도
837,김포평화누리길 1코스,nan,37.6535376,126.5533799,nan
838,김포평화누리길 2코스,nan,37.73869766,126.5484911,nan
839,김포평화누리길 3코스,nan,37.70077831,126.6622045,nan
840,김포 장릉,경기도 김포시 장릉로 79(풍무동),37.6107519,126.7126583,경기도
841,애기봉 평화생태공원,경기도 김포시 월곶면 평화공원로 289,37.75316598,126.5942484,경기도
842,문수산성,nan,37.7429948,126.5467533,nan
843,김포함상공원,경기도 김포시 대곶면 대명항1로 110-36,37.6406387,126.539261,경기도
844,덕포진,경기도 김포시 대곶면 덕포진로103번길 90,37.6506248,126.5387862,경기도
845,덕포진교육박물관,경기도 김포시 대곶면 덕포진로103번길 90,37.6506248,126.5387862,경기도
846,섬진강문화학교 독도사진전시관,전라남도 곡성군 죽곡면 태안로 793,35.14820762,127.3603367,전라남도
847,시사교육박물관 김갑진 갤러리,전라남도 곡성군 목사동면 대곡당산길 1,35.11000012,127.262542,전라남도
848,아산조방원미술관,전라남도 곡성군 옥과면 미술관로 288,35.29706668,127.1226056,전라남도
849,곡성생태체험관,전라남도 곡성군 옥과면 월파로 295,35.31719414,127.1699834,전라남도
850,심청효문화센터,전라남도 곡성군 오산면 오산로 254-4,35.20836622,127.1288481,전라남도
851,심청골짝나라학교,전라남도 곡성군 석곡면 방주마천목길 107,35.17183675,127.2580116,전라남도
852,심청한옥마을,전라남도 곡성군 오곡면 심청로 178,35.23063008,127.3575205,전라남도
853,곡성청소년야영장,전라남도 곡성군 고달면 가정마을길 51,35.22777786,127.369723,전라남도
854,곡성기차마을전통시장,전라남도 곡성군 곡성읍 곡성로 856,35.27976851,127.2984461,전라남도
855,곡성기차마을 패러글라이딩체험,nan,35.26672854,127.3087391,nan
856,섬진강 레일바이크,전라남도 곡성군 오곡면 섬진강로 1465 (가정역),35.23015492,127.3682034,전라남도
857,곡성집라인,전라남도 곡성군 오곡면 섬진강로 1492,35.23192974,127.3698908,전라남도
858,대황강 출렁다리,nan,35.15035107,127.3286414,nan
859,반구정습지,nan,35.11550817,127.2453298,nan
860,대황강자연휴식공원,nan,35.12890532,127.2559931,nan
861,섬진강변 철쭉길,전라남도 곡성군 오곡면 섬진강로 2068,35.26690786,127.3325028,전라남도
862,섬진강변 자전거하이킹,전라남도 곡성군 오곡면 기차마을로 232,35.27753393,127.3082912,전라남도
863,두계 농촌체험 휴양마을,전라남도 곡성군 고달면 두계길 126,35.24354627,127.3790396,전라남도
864,봉조 농촌체험 휴양마을,전라남도 곡성군 오곡면 봉조길 114,35.21496518,127.3604656,전라남도
865,상한 농촌체험 휴양마을,전라남도 곡성군 죽곡면 상한길 240,35.16105726,127.3987916,전라남도
866,무창 농촌체험 휴양마을,전라남도 곡성군 옥과면 금의길 59,35.28642041,127.1520961,전라남도
867,안개 농촌체험 휴양마을,전라남도 곡성군 고달면 고산로 39-18,35.29052093,127.3419816,전라남도
868,가정 농촌체험 휴양마을,전라남도 곡성군 고달면 가정마을길 65,35.22727591,127.3704119,전라남도
869,죽산 농촌체험 휴양마을,전라남도 곡성군 겸면 죽산하늘재길42,35.23352336,127.1752282,전라남도
870,용암 농촌체험 휴양마을,전라남도 곡성군 목사동면 용사용암길 8-2,35.12878212,127.3134337,전라남도
871,칠봉 농촌체험 휴양마을,전라남도 곡성군 겸면 칠봉길 89,35.24620059,127.1802226,전라남도
872,봉정 농촌체험 휴양마을,전라남도 곡성군 죽곡면 봉정길 43-137,35.19394727,127.3107811,전라남도
873,대신주말농장 정보화마을,전라남도 곡성군 곡성읍 신리길 24-1,35.29488111,127.3237142,전라남도
874,심우장,서울특별시 성북구 성북로29길 24,37.5936268,126.9916662,서울특별시
875,길상사,서울특별시 성북구 선잠로5길 68(성북동),37.59910942,126.9946522,서울특별시
876,한국가구박물관,서울특별시 성북구 대사관로121,37.60037831,126.9934492,서울특별시
877,성류굴 관광지,경상북도 울진군 근남면 성류굴로 202,36.95884825,129.3794409,경상북도
878,백암온천 관광지,경상북도 울진군 온정면 온천로 7,36.72132775,129.343467,경상북도
